"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Sugarscape 2 Constant Growback_edit.nlogo"
"metab_vision_pop"
"02/13/2024 13:20:22:133 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","initial-population","max-metabolism","max-vision","[step]","count turtles","survival-rate","last-death","gini-index","mean [vision] of turtles","mean [metabolism] of turtles"
"2","200","2","2","126","164","0.82","24","0.28689336685300254","1.5365853658536586","1.4695121951219512"
"4","400","2","2","126","317","0.7925","24","0.31420041621229","1.4794952681388012","1.473186119873817"
"5","500","2","2","126","395","0.79","24","0.3443692786889599","1.5265822784810126","1.440506329113924"
"6","600","2","2","126","481","0.8016666666666666","24","0.37495504750729786","1.521829521829522","1.4345114345114345"
"11","100","4","2","146","56","0.56","44","0.3494973544973545","1.4464285714285714","1.7142857142857142"
"3","300","2","2","126","244","0.8133333333333334","24","0.29546876961749147","1.5614754098360655","1.4426229508196722"
"12","200","4","2","176","109","0.545","74","0.34693067720590676","1.4495412844036697","1.7798165137614679"
"1","100","2","2","123","82","0.82","21","0.25751853038668227","1.4878048780487805","1.451219512195122"
"8","800","2","2","129","647","0.80875","27","0.391436794345543","1.545595054095827","1.3910355486862442"
"7","700","2","2","126","568","0.8114285714285714","24","0.3845125391276399","1.4911971830985915","1.4630281690140845"
"13","300","4","2","249","149","0.49666666666666665","147","0.3620011542843908","1.4899328859060403","1.74496644295302"
"15","500","4","2","328","242","0.484","226","0.3771489907853548","1.5909090909090908","1.5743801652892562"
"14","400","4","2","567","186","0.465","465","0.34228959554450306","1.5698924731182795","1.6935483870967742"
"9","900","2","2","452","688","0.7644444444444445","350","0.46065895669067064","1.5116279069767442","1.4186046511627908"
"19","900","4","2","417","358","0.3977777777777778","315","0.35711610302093727","1.5335195530726258","1.4245810055865922"
"17","700","4","2","415","309","0.44142857142857145","313","0.3634879331501176","1.5080906148867315","1.4757281553398058"
"21","100","6","2","245","34","0.34","143","0.34096699314952156","1.4705882352941178","2"
"20","1000","4","2","340","385","0.385","238","0.3579069188722029","1.4987012987012986","1.4337662337662338"
"18","800","4","2","500","317","0.39625","398","0.35473216422469644","1.5299684542586751","1.4952681388012619"
"22","200","6","2","313","65","0.325","211","0.31967937618811226","1.4615384615384615","1.9230769230769231"
