export-plot data (NetLogo 6.4.0),,,,,,,
Sugarscape 2 Constant Growback_edit.nlogo,,,,,,,
02/18/2024 14:29:13:829 +0000,,,,,,,
,,,,,,,
MODEL SETTINGS,,,,,,,
maximum-sugar-endowment,minimum-sugar-endowment,visualization,initial-population,max-metabolism,max-vision,,
25,5,"""no-visualization""",600,4,10,,
,,,,,,,
"""Wealth distribution""",,,,,,,
x min,x max,y min,y max,autoplot?,current pen,legend open?,number of pens
0,818,0,122,TRUE,"""default""",FALSE,1
,,,,,,,
pen name,pen down?,mode,interval,color,x,,
"""default""",TRUE,1,81.8,0,736.2,,
,,,,,,,
"""default""",,,,,,,
x,y,color,pen down?,,,,
0,14,0,TRUE,,,,
81.8,5,0,TRUE,,,,
163.6,6,0,TRUE,,,,
245.4,27,0,TRUE,,,,
327.2,95,0,TRUE,,,,
409,7,0,TRUE,,,,
490.8,8,0,TRUE,,,,
572.6,8,0,TRUE,,,,
654.4,32,0,TRUE,,,,
736.2,89,0,TRUE,,,,
,,,,,,,
gini-index,ticks,,,,,,
0.248,400,,,,,,
